# epoch flux flux_err dx dy fwhm fwhmx fwhmy sky airmass
  3119.01280  1.00035  0.00100  0.80611 -2.78591 11.53936 11.53936 11.53936   1360.12313  1.41584
  3119.01352  1.00306  0.00099  0.85953 -2.20794 10.85011 10.85011 10.85011   1342.80110  1.41421
  3119.01785  1.00630  0.00099  0.67263 -1.91676 10.49414 10.49414 10.49414   1343.60439  1.40452
  3119.02146  1.00497  0.00099  0.67460 -2.27618 10.95313 10.95313 10.95313   1332.66888  1.39660
  3119.02218  1.00804  0.00099  0.41715 -2.21958 11.51911 11.51911 11.51911   1331.92819  1.39503
  3119.02796  1.00911  0.00099  0.83912 -2.32059 12.55241 12.55241 12.55241   1350.37144  1.38276
  3119.02868  1.00668  0.00099  0.77513 -1.90476 11.31272 11.31272 11.31272   1349.91182  1.38127
  3119.02940  1.00669  0.00099  0.19647 -1.86527 11.78689 11.78689 11.78689   1323.77536  1.37979
  3119.03012  1.00655  0.00098  0.62372 -1.68396 11.59933 11.59933 11.59933   1316.93987  1.37831
  3119.03229  1.00736  0.00099 -0.03834 -2.08201 12.12633 12.12633 12.12633   1336.16695  1.37387
  3119.03590  1.00564  0.00099  0.27237 -1.80776 11.69208 11.69208 11.69208   1347.94756  1.36662
  3119.03662  1.00329  0.00099  1.00662 -1.80843 11.63518 11.63518 11.63518   1340.48860  1.36519
  3119.04384  1.00360  0.00099  0.48492 -1.25724  8.81133  8.81133  8.81133   1307.47103  1.35124
  3119.05105  1.00027  0.00097  0.54806 -1.77466 11.72553 11.72553 11.72553   1236.29839  1.33797
  3119.05178  1.00309  0.00096  0.34066 -1.29171  9.86030  9.86030  9.86030   1228.57611  1.33668
  3119.05683  0.99945  0.00098  0.74136 -1.82367  9.66139  9.66139  9.66139   1288.07959  1.32781
  3119.06621  0.99412  0.00099  0.31462 -0.47502  9.93744  9.93744  9.93744   1323.21029  1.31218
  3119.06982  0.99051  0.00099  0.74206 -1.58181  9.84213  9.84213  9.84213   1351.84379  1.30644
  3119.07054  0.98902  0.00099  0.65313 -1.63335  8.70716  8.70716  8.70716   1340.06199  1.30533
  3119.07776  0.98893  0.00098  0.76179 -1.22259  9.38637  9.38637  9.38637   1309.06483  1.29442
